title,authors,year,venue,arxiv_id,doi,topic,relevance_to_bioshield
"Defending Against Neural Fake News","Zellers et al.",2019,NeurIPS,,,"MGT detection, adversarial training","Grover model — original detector-generator co-training; family-of-generators finding directly cited in §VI"
"GLTR: Statistical Detection and Visualization of Generated Text","Gehrmann et al.",2019,ACL System Demonstrations,,,MGT detection — token statistics,"Token-rank statistical detector; baseline method in MGT detection lineage"
"DetectGPT: Zero-Shot Machine-Generated Text Detection Using Probability Curvature","Mitchell et al.",2023,ICML,2301.11305,,"MGT detection — zero-shot","Zero-shot curvature-based detector; motivates adversarial training comparison"
"RADAR: Robust AI-Text Detection via Adversarial Learning","Hu et al.",2023,NeurIPS,2307.03838,,"adversarial training for MGT","Direct adversarial detector baseline; our pipeline inspired by RADAR's loop"
"RAID: A Shared Benchmark for Robust Evaluation of Machine-Generated Text Detectors","Dugan et al.",2024,ACL,2405.07940,,"MGT benchmark","Cross-domain benchmark we probe; exposes our calibration failure"
"MAGE: Machine-Generated Text Detection in the Wild","Li et al.",2024,ACL,,,"MGT detection — in-the-wild","Cross-domain brittleness analysis; consistent with our RAID findings"
"M4: Multi-generator Multi-domain Multi-lingual Black-Box Machine-Generated Text Detection","Wang et al.",2024,EACL,2305.14902,,"MGT detection — multi-domain","Multi-generator benchmark; motivates our Condition E multi-family approach"
"How Close is ChatGPT to Human Experts? Comparison Corpus Evaluation and Detection","Guo et al.",2023,arXiv,2301.07597,,"MGT detection — ChatGPT","HC3 benchmark; alternative cross-domain evaluation corpus"
"Can AI-Generated Text Be Reliably Detected?","Sadasivan et al.",2024,ICML,2303.11156,,"MGT detection — theoretical limits","Theoretical attack lower bound on detection; frames our failure as expected"
"Paraphrasing Evades Detectors of AI-Generated Text but Retrieval is an Effective Defense","Krishna et al.",2023,NeurIPS,,,"paraphrase attack on detectors","Paraphrase attack effectiveness; frames Qwen agent's rewriting strategy"
"On Calibration of Modern Neural Networks","Guo et al.",2017,ICML,,,"calibration — temperature scaling","Temperature scaling method implemented in evaluation/calibration.py"
"GPT Detectors are Biased Against Non-Native English Writers","Liang et al.",2023,arXiv,2304.02819,,"MGT detection — bias","Bias analysis of commercial detectors; motivates domain-aware evaluation"
"Domain-Specific Language Model Pretraining for Biomedical Natural Language Processing","Gu et al.",2021,ACM Trans. Computing for Healthcare,,10.1145/3458754,"biomedical NLP — pretraining","BiomedBERT-Large: our detector backbone"
"BioMistral: A Collection of Open-Source Pretrained Large Language Models for Medical Domains","Labrak et al.",2024,arXiv,2402.10373,,"biomedical LLM","BioMistral-7B: our primary fake generator"
"Mistral 7B","Jiang et al.",2023,arXiv,2310.06825,,"LLM","Base model for BioMistral; context for in-family detection"
"Qwen2.5 Technical Report","Qwen Team",2024,arXiv,2412.15115,,"LLM","Qwen2.5-7B: our rewriting agent"
